Nome do Teste,Custo,Tempo de Execu��o,Mem�ria
eil51.tsp,584,2.374812364578247,51.1875
st70.tsp,888,2.3893277645111084,52.0546875
eil76.tsp,696,3.1382553577423096,52.9609375
berlin52.tsp,10114,2.520561695098877,53.5546875
eil101.tsp,830,2.5142407417297363,55.859375
rat99.tsp,1693,2.4272103309631348,57.5546875
pr76.tsp,145336,2.3699071407318115,56.3984375
kroC100.tsp,27968,2.4229366779327393,56.65234375
kroD100.tsp,27112,2.419625759124756,58.4609375
kroE100.tsp,29965,2.4148976802825928,60.10546875
kroA100.tsp,27210,2.483621597290039,62.07421875
kroB100.tsp,25885,3.002690076828003,57.15625
lin105.tsp,19495,3.19419264793396,57.30078125
pr107.tsp,54237,2.6301748752593994,57.9609375
pr124.tsp,74139,2.532102346420288,60.7421875
kroB150.tsp,36150,1.3213820457458496,59.19140625
kroA150.tsp,35119,1.3197994232177734,62.83203125
pr136.tsp,151904,1.5076489448547363,60.15625
pr144.tsp,80599,1.920987844467163,60.2578125
pr152.tsp,87995,1.3494806289672852,63.19140625
rat195.tsp,3234,1.4859848022460938,64.55859375
bier127.tsp,158626,1.988457202911377,62.53125
kroA200.tsp,40028,1.5980620384216309,70.5390625
kroB200.tsp,40703,1.6008987426757812,68.84375
rd100.tsp,10790,2.0464296340942383,59.78515625
gil262.tsp,3308,1.6521632671356201,67.70703125
pr226.tsp,116694,1.5046355724334717,69.203125
a280.tsp,3592,1.6320312023162842,77.84765625
ts225.tsp,188008,1.4386699199676514,75.62890625
pr264.tsp,66470,1.5967798233032227,70.375
tsp225.tsp,5161,1.4639356136322021,75.1015625
pr299.tsp,64645,1.6662054061889648,78.8125
lin318.tsp,58138,2.1735167503356934,86.23828125
linhp318.tsp,58138,1.9599640369415283,79.9375
ch130.tsp,8129,3.0796561241149902,79.2421875
u159.tsp,57791,1.4125158786773682,79.953125
ch150.tsp,8347,1.4923779964447021,69.6953125
d198.tsp,18936,1.5288665294647217,72.609375
pr439.tsp,144623,1.2224972248077393,96.32421875
rat575.tsp,9393,1.6585755348205566,135.51171875
rat783.tsp,11921,2.602571725845337,205.953125
rd400.tsp,20331,1.2233624458312988,189.140625
fl417.tsp,16200,1.1281557083129883,110.03125
pcb442.tsp,69223,1.3956317901611328,115.84375
d493.tsp,44884,1.4264240264892578,126.2578125
pr1002.tsp,342216,4.463348865509033,280.93359375
u574.tsp,48902,1.757143497467041,274.765625
p654.tsp,49699,1.9748196601867676,174.87890625
d657.tsp,66342,2.0292084217071533,195.73828125
u724.tsp,57721,2.411466121673584,215.8203125
u1060.tsp,305849,4.797916650772095,337.30078125
vm1084.tsp,315277,5.0358686447143555,448.1796875
nrw1379.tsp,79188,8.132640838623047,596.99609375
pcb1173.tsp,80761,5.712700366973877,627.93359375
d1291.tsp,75282,6.805552959442139,547.61328125
rl1304.tsp,348309,7.259567975997925,595.80078125
rl1323.tsp,380427,7.574151039123535,624.234375
fl1400.tsp,28022,7.981786489486694,691.01171875
u1432.tsp,214417,8.37299919128418,798.515625
fl1577.tsp,30257,9.642822504043579,885.41796875
d1655.tsp,85285,11.071139812469482,977.4765625
vm1748.tsp,442756,13.015904188156128,1061.0625
u1817.tsp,82013,13.155422925949097,1169.68359375
rl1889.tsp,448611,14.990978479385376,1254.734375
d2103.tsp,123086,17.485283374786377,1413.52734375
u2152.tsp,93801,19.333696365356445,1558.09375
u2319.tsp,320506,22.1242516040802,1658.8125
pr2392.tsp,523107,23.26266098022461,1836.0
pcb3038.tsp,197498,43.59262156486511,2126.5
fnl4461.tsp,255829,109.66251754760742,4088.30078125
fl3795.tsp,36256,118.76858735084534,3983.48046875
